,Unnamed: 0,div?,home?,passing,rush,receive,kick,fumble,fum_lost,score,kicker_ratio,time,oppo_tot,oppo_sack,oppo_inn,pen_dif,pen_yard_dif
211,7,0,1,115.8,2.6,11.9,8,1,1,20,1.0,1,53,3,0,-4,-15
212,8,1,0,92.4,5.1,12.9,14,0,0,32,1.0,1,67,0,0,0,18
213,9,1,1,56.8,4.5,11.4,6,1,0,6,1.0,1,61,7,1,0,-18
214,10,1,0,98.3,2.4,10.9,3,2,0,21,1.0,1,59,1,1,1,-18
215,11,1,1,143.2,3.7,14.2,11,0,0,41,0.875,1,77,3,0,-1,18
216,12,0,0,92.1,4.2,12.4,9,1,1,29,1.0,1,66,1,2,-5,-21
217,13,0,1,130.6,5.2,12.1,11,0,0,41,0.875,1,69,1,0,5,21
218,14,0,0,46.8,4.8,9.4,12,1,0,30,1.0,1,69,0,3,-1,-15
219,15,0,1,93.6,3.0,11.7,11,3,0,23,1.0,1,66,3,1,1,15
220,16,1,0,104.4,4.1,10.5,9,0,0,33,1.0,1,77,0,0,2,15
221,17,1,1,31.4,5.5,10.4,3,1,0,21,1.0,1,49,1,2,-2,-15
222,18,0,0,87.6,4.3,10.8,9,2,1,21,1.0,1,69,1,0,-5,-71
223,19,0,1,89.6,7.6,7.3,8,0,0,26,0.8,1,73,1,0,5,71
224,20,1,0,46.8,3.1,5.1,4,1,0,10,1.0,1,76,2,2,-5,-39
225,21,1,1,102.5,4.3,11.7,10,2,0,34,0.8571428571428571,1,63,1,0,5,39
226,22,0,0,98.5,2.9,10.4,5,1,0,25,1.0,2,88,4,0,1,-15
227,23,0,1,104.1,7.1,11.3,6,0,0,24,0.8,2,58,2,0,-1,15
228,24,0,0,73.2,5.2,6.9,4,2,2,10,0.6666666666666666,2,72,2,1,0,-1
229,25,0,1,135.1,3.6,11.2,12,3,0,36,0.75,2,81,2,0,0,1
230,26,1,0,87.9,1.1,10.2,7,0,0,13,0.75,2,38,2,0,0,-7
231,27,1,1,96.8,4.0,10.1,5,2,2,17,1.0,2,79,2,1,0,7
232,28,1,0,60.4,4.2,12.5,2,1,0,14,1.0,2,48,5,2,-2,-2
233,29,1,1,140.9,3.9,13.3,8,2,0,56,1.0,2,72,3,0,2,2
234,30,0,0,91.5,2.9,10.4,8,1,0,20,0.8,2,72,3,1,0,3
235,31,0,1,40.6,3.6,11.3,3,0,0,3,1.0,2,63,8,2,0,-3
